                           N             E             V      SN      SE      SV
AB01 2009.9165         0.300        -1.181         1.419   1.432   1.056   4.157
AB01 2013.6646        -9.302        -3.829         1.889   1.431   1.067   4.154
AB01 2014.1793        -5.597         1.130         1.100   1.420   1.058   4.127
AB01 2016.2272       -13.331         4.711         4.086   1.398   1.023   4.061
AB02 2009.3662        -7.331         6.637         0.994   1.336   0.961   3.827
AB02 2010.5462        10.746        17.162         0.117   1.192   0.857   3.413
AB02 2015.6085       -10.170        -0.318        -2.706   1.121   0.794   3.190
AB02 2016.7089        -4.490        -0.178         4.953   1.096   0.769   3.112
AB04 2018.7625         3.839        -3.324         0.781   1.155   0.798   3.653
AB06 2009.5578        -4.720         3.138         1.180   0.958   0.712   2.805
AB07 2011.4771        -7.072         1.005        -3.200   0.826   0.593   2.333
AB07 2014.0370        -1.842        -0.776        -3.695   0.821   0.588   2.324
AB08 2009.9192         5.956         6.632        -0.913   2.199   1.560   6.533
AB08 2010.5902         1.637        -5.693         3.158   1.726   1.239   5.134
AB08 2012.0082         2.699        -4.955         2.665   1.288   0.917   3.717
AB08 2016.8980        -1.143         8.717         1.369   1.268   0.877   3.754
AB08 2018.7515        -3.558        10.028         0.719   1.749   1.218   5.206
AB08 2019.0691         3.138         4.157         0.460   1.952   1.362   5.836
AB08 2019.7399        -6.533         4.286         1.608   1.529   1.068   4.614
AB11 2010.8857        52.001        -3.676        -1.731   2.506   1.912   8.165
AB11 2011.0308       -55.244         5.370        -3.474   3.047   2.291   9.767
AB11 2011.2443         0.466        -0.470         2.636   1.881   1.366   5.809
AB11 2019.1047        29.628        -5.968        10.662   2.353   1.664   7.746
AB11 2019.2553       -29.612         6.335       -14.272   3.687   2.590  11.922
AB12 2011.9179        23.727        -9.621        28.346   1.627   1.163   4.757
AB12 2012.2929       -19.674         7.121       -20.291   1.624   1.161   4.757
AB12 2017.9329         4.100       -34.337        82.639   2.314   1.631   7.036
AB12 2018.1793        65.899        20.756        14.068   3.603   2.445  10.989
AB12 2018.3958       -62.677         8.234       -89.604   3.031   2.021   9.186
AB12 2019.0363        22.125       -20.565        46.341   2.962   2.104   8.790
AB13 2015.8302         3.170         1.488        -3.754   0.863   0.601   2.481
AB13 2018.0643         3.073        -5.995         0.664   0.932   0.642   2.691
AB14 2017.9658         4.589         7.616         6.331   2.570   1.786   7.518
AB14 2018.0862         0.658       -13.673        -7.518   2.708   1.882   7.926
AB14 2018.8610        -0.608        -1.975         3.053   2.163   1.507   6.255
AB14 2019.0910         9.486        -7.727        29.686   3.065   2.138   9.180
AB14 2019.2579        -7.178         8.172       -29.427   2.507   1.752   7.652
AB15 2013.4483         0.359        -2.905         2.376   1.070   0.733   3.076
AB15 2018.0616         3.910        -3.898         0.831   1.036   0.695   3.052
AB17 2010.4832         0.748        -5.251        -1.327   1.140   0.807   3.588
AB17 2013.4483         2.041        -5.219         0.004   0.994   0.709   3.091
AB17 2019.9890         1.382         4.391         0.622   1.361   0.956   4.318
AB18 2007.9343         9.992        10.403        -3.743   1.542   1.150   5.279
AB18 2008.4244        -8.335       -14.042         2.180   1.486   1.104   5.100
AB18 2009.7112        -1.595         8.163        -0.070   1.187   0.874   4.032
AB18 2010.7652         0.618         4.994        -1.443   1.124   0.835   3.775
AB18 2011.8905         6.432        14.167        -0.714   1.374   1.036   4.588
AB18 2012.4079        -3.189       -11.269         0.591   1.311   0.988   4.380
AB21 2008.2984         4.038        -0.391         3.455   1.051   0.758   2.971
AB21 2013.7168        -4.451        10.114         1.135   1.437   1.037   4.050
AB22 2009.5414        -4.402         1.539         3.617   1.028   0.714   3.078
AB22 2013.4757        -1.290        -3.337         3.372   1.104   0.772   3.278
AB22 2018.0616         6.572        -7.098         0.169   1.051   0.724   3.179
AB22 2019.5400         2.874        -3.549         5.766   1.329   0.923   4.050
AB27 2018.6858         2.262         0.891         2.327   0.830   0.596   2.797
AB28 2009.5058        -4.030        -0.684         6.300   1.115   0.790   3.315
