                       N               E               V      SN      SE      SV
AB01 POS    52.209502060  -174.204757721       25482.147   0.744   0.542   2.157
AB01 VEL         -21.031          -6.913           0.694   0.346   0.254   1.003
AB02 POS    52.970603244  -168.854671547      192801.346   0.612   0.431   1.744
AB02 VEL         -19.900          -8.402           0.839   0.223   0.158   0.631
AB04 POS    63.656862072  -170.567443467      136555.734   0.712   0.496   2.234
AB04 VEL         -23.899          -0.837          -0.894   0.128   0.088   0.402
AB06 POS    54.885320081  -163.423455424      500428.932   0.495   0.359   1.452
AB06 VEL         -21.677          -7.783           1.173   0.087   0.064   0.255
AB07 POS    55.349274369  -160.476759797       89567.609   0.463   0.325   1.316
AB07 VEL         -15.869         -12.759           0.163   0.120   0.086   0.342
AB08 POS    60.384829614  -166.200857010       26511.178   1.055   0.736   3.191
AB08 VEL         -25.154          -2.692          -1.096   0.283   0.199   0.829
AB09 POS    65.614978925  -168.062125537      162081.606   0.473   0.329   1.548
AB09 VEL         -23.656          -1.215          -0.535   0.075   0.053   0.242
AB11 POS    64.564493637  -165.373459032      349443.100   2.924   2.047   9.326
AB11 VEL         -24.137          -1.870          -0.477   0.118   0.085   0.368
AB12 POS    58.950793102  -161.746263320      587147.234   2.752   1.957   8.196
AB12 VEL         -23.235          -6.178          -2.104   0.180   0.127   0.518
AB13 POS    56.307324796  -158.503796851      487818.200   0.729   0.504   2.111
AB13 VEL         -13.810         -14.385           0.071   0.107   0.075   0.308
AB14 POS    59.108164021  -159.091532947      657647.684   0.768   0.536   2.245
AB14 VEL         -22.204          -6.537           0.403   0.098   0.068   0.283
AB15 POS    61.039750305  -159.878362177      560332.275   0.827   0.554   2.440
AB15 VEL         -24.414          -3.083          -0.160   0.167   0.114   0.486
AB17 POS    63.886357026  -160.694731804      117436.960   1.190   0.836   3.782
AB17 VEL         -24.937          -2.850          -0.768   0.167   0.118   0.524
AB18 POS    66.858360776  -162.613508586       37115.155   0.690   0.500   2.342
AB18 VEL         -25.581          -5.054          -1.820   0.151   0.111   0.507
AB21 POS    51.864148415  -176.662649103       59406.496   0.630   0.449   1.780
AB21 VEL         -11.431         -11.662           3.496   0.176   0.127   0.498
AB22 POS    59.899317495  -154.698259572      199847.288   1.085   0.753   3.308
AB22 VEL         -27.163          -3.188           2.303   0.219   0.152   0.656
AB25 POS    62.929307996  -156.023391919      961048.216   0.589   0.411   1.803
AB25 VEL         -25.730          -4.713           1.167   0.087   0.061   0.265
AB27 POS    67.055883872  -156.904890694      508106.799   0.615   0.443   2.079
AB27 VEL         -23.667          -5.180          -0.732   0.077   0.056   0.259
AB28 POS    62.093812620  -152.814919238     1582743.316   1.175   0.827   3.487
AB28 VEL         -27.303          -6.656           3.974   0.310   0.220   0.922
AB33 POS    67.251010160  -150.172545898      334769.341   0.426   0.306   1.445
AB33 VEL         -23.339          -7.048          -1.225   0.058   0.042   0.196
AB35 POS    60.079067430  -142.389877977      536871.977   0.845   0.593   2.419
AB35 VEL          16.742         -30.274          12.974   0.305   0.212   0.875
AB36 POS    65.030396325  -150.743985993      816525.720   2.825   1.830   8.617
AB36 VEL         -26.873          -7.733           2.001   0.596   0.382   1.792
AB37 POS    62.967321813  -145.451883798     1136659.656   0.606   0.418   1.833
AB37 VEL          -9.380         -24.664           4.992   0.189   0.131   0.568
AB39 POS    66.559344059  -145.212633177      147669.117   0.506   0.354   1.648
AB39 VEL         -21.116          -9.459          -2.754   0.090   0.063   0.292
AB41 POS    64.777323888  -141.158069322      285942.725   0.648   0.455   2.085
AB41 VEL         -18.406         -10.134          -2.808   0.095   0.066   0.297
AB42 POS    59.340376952  -138.898818776      773541.456   0.721   0.498   2.050
AB42 VEL          14.221         -34.892          26.959   0.273   0.187   0.773
AB43 POS    58.198841395  -136.640811772       27170.770   0.930   0.626   2.585
AB43 VEL          -5.141         -18.503          14.489   0.387   0.258   1.105
AB44 POS    59.528037660  -135.228300336      304392.974   1.003   0.793   3.176
AB44 VEL          -9.938         -10.637          19.372   0.430   0.317   1.286
AB45 POS    68.760492544  -148.871153914      507013.708   0.500   0.361   1.772
AB45 VEL         -22.194          -7.907          -0.427   0.071   0.052   0.251
AB46 POS    68.120669572  -145.567903654      647879.906   0.529   0.386   1.846
AB46 VEL         -20.381          -8.510          -3.503   0.104   0.076   0.360
AB48 POS    56.245059964  -134.647000339        5330.413   0.846   0.554   2.515
AB48 VEL          -9.561         -14.249           2.738   0.420   0.266   1.245
AB49 POS    55.580100263  -133.068488574       17538.234   0.622   0.444   1.799
AB49 VEL         -10.803         -12.059           0.097   0.397   0.281   1.151
AB50 POS    58.416773831  -134.545303808       51774.980   0.736   0.522   2.549
AB50 VEL         -15.153         -13.695          22.506   0.281   0.201   0.979
AB51 POS    56.797621367  -132.913564083       76000.243   1.274   0.877   3.669
AB51 VEL         -16.079         -17.206          15.545   0.278   0.189   0.804
AB53 POS    56.584754373  -132.867248919     1016248.821   1.925   1.320   5.304
AB53 VEL         -16.012         -16.250          13.357   0.176   0.120   0.490
ABEB POS    57.144010243    -2.080216678       53543.514   2.117   1.496   6.449
ABEB VEL          15.968          14.974           0.699   0.124   0.081   0.377
ABGS POS     0.220825542    99.387524058      235818.894   3.013   3.687  12.826
ABGS VEL          10.813          24.325           1.133   0.464   0.563   1.967
ABMF POS    16.262306765   -61.527535461      -25568.960   0.492   0.559   2.087
ABMF VEL          15.226          11.056          -1.315   0.178   0.200   0.762
ABPO POS   -19.018304320    47.229213799     1552959.643   0.457   0.502   1.965
ABPO VEL          14.593          18.786          -0.672   0.168   0.180   0.723
ABVI POS    18.729685118   -64.332484457      -35610.698   2.799   3.107  12.227
ABVI VEL          15.053           8.307           0.223   0.381   0.425   1.668
AC02 POS    56.950585734  -154.183048860      126876.315   0.735   0.510   2.140
AC02 VEL          -2.810         -19.665           1.779   0.349   0.247   1.001
AC03 POS    59.770635189  -151.864534471       19722.766   0.689   0.466   2.045
AC03 VEL         -25.235          -8.731          11.892   0.550   0.374   1.621
AC06 POS    59.763635622  -150.890560791      631535.442   0.842   0.590   2.437
AC06 VEL         -16.443         -10.970           6.775   0.336   0.237   0.967
AC07 POS    65.961290683  -161.286616838      176320.056   0.626   0.446   2.064
AC07 VEL         -24.179          -3.345          -0.777   0.082   0.059   0.271
AC08 POS    58.928772932  -153.644701608      644253.576   0.542   0.378   1.612
AC08 VEL         -22.397          -7.125           7.940   0.094   0.065   0.277
AC09 POS    59.868478830  -144.523853066      368917.736   0.830   0.580   2.381
AC09 VEL          16.048         -26.649           2.385   0.905   0.633   2.579
AC10 POS    54.522579489  -164.886730120      170509.228   0.967   0.678   2.823
AC10 VEL         -21.604         -10.300           3.094   0.173   0.123   0.504
AC11 POS    61.807077871  -148.331752735      790943.837   1.181   0.825   3.464
AC11 VEL          -7.011         -20.886           2.450   0.837   0.587   2.458
AC12 POS    54.830962069  -159.589564112       84387.085   0.526   0.371   1.494
AC12 VEL         -11.972         -13.836          -2.273   0.212   0.151   0.600
AC13 POS    55.821897690  -155.622404419      222703.017   0.588   0.409   1.697
AC13 VEL          12.535         -24.805         -10.648   0.204   0.144   0.584
AC14 POS    60.848702443  -147.999585779      748751.904   0.693   0.469   2.035
AC14 VEL          16.818         -26.007           3.422   0.238   0.161   0.691
AC15 POS    60.481332245  -149.724010550      151542.296   0.817   0.522   2.529
AC15 VEL          -4.922         -17.679          12.394   0.536   0.343   1.660
AC16 POS    60.518206593  -148.093239963       34068.736   2.377   1.628   8.463
AC16 VEL          22.706         -27.376          -0.089   0.356   0.244   1.268
AC17 POS    60.663899713  -152.403847333      882692.820   0.514   0.363   1.499
AC17 VEL         -28.424          -6.238          11.016   0.212   0.149   0.612
AC18 POS    58.925955884  -152.249532763      214792.271   1.939   1.332   5.765
AC18 VEL         -26.658          -7.587          10.113   0.369   0.254   1.088
AC19 POS    62.519211261  -153.607334208      546535.603   0.853   0.604   2.655
AC19 VEL         -25.518          -6.736           2.809   0.127   0.090   0.392
AC20 POS    60.929206715  -149.352507491       43764.768   0.950   0.581   3.014
AC20 VEL          -6.159         -19.320           9.017   0.232   0.137   0.711
AC21 POS    55.921088610  -159.127724989      170935.608   0.662   0.464   1.872
AC21 VEL         -14.369         -14.602          -0.311   0.109   0.078   0.307
AC23 POS    60.475090824  -150.877956144       80877.542   0.921   0.641   2.753
AC23 VEL         -21.111         -10.099           5.480   0.476   0.332   1.413
AC24 POS    58.681570496  -156.652756636       36357.915   0.667   0.469   1.928
AC24 VEL         -21.569          -7.542           1.015   0.113   0.079   0.324
AC25 POS    55.088966024  -162.314053956      584276.598   0.480   0.337   1.350
AC25 VEL         -20.622          -9.571           0.471   0.091   0.065   0.255
AC26 POS    58.214553622  -154.150293678      190179.082   0.735   0.515   2.119
AC26 VEL         -17.041         -10.515           5.790   0.728   0.512   2.082
AC27 POS    59.252504185  -154.162881981      417529.831   0.635   0.452   1.871
AC27 VEL         -26.880          -4.981           2.740   0.222   0.158   0.646
AC28 POS    55.078489454  -160.049162707      365097.649   0.535   0.374   1.513
AC28 VEL         -15.155         -12.924          -0.269   0.108   0.076   0.304
