dates,filenames
1996-08-02,tela2150.96d
1996-08-03,tela2160.96d
1996-09-13,tela2570.96d
1996-09-14,tela2580.96d
1996-09-15,tela2590.96d
1996-09-16,tela2600.96d
1996-09-17,tela2610.96d
1996-09-18,tela2620.96d
1996-09-19,tela2630.96d
1996-09-20,tela2640.96d
1996-09-21,tela2650.96d
1996-09-22,tela2660.96d
1996-09-23,tela2670.96d
1996-09-24,tela2680.96d
1996-09-25,tela2690.96d
1996-09-27,tela2710.96d
1996-09-28,tela2720.96d
1996-09-29,tela2730.96d
1996-09-30,tela2740.96d
1996-10-01,tela2750.96d
1996-10-02,tela2760.96d
1996-10-03,tela2770.96d
1996-10-04,tela2780.96d
1996-10-05,tela2790.96d
1996-10-06,tela2800.96d
1996-10-07,tela2810.96d
1996-10-08,tela2820.96d
1996-10-09,tela2830.96d
1996-11-16,tela3210.96d
1997-02-19,tela0500.97d
1997-03-13,tela0720.97d
1997-03-14,tela0730.97d
1997-03-15,tela0740.97d
1997-03-16,tela0750.97d
1997-03-17,tela0760.97d
1997-03-18,tela0770.97d
1997-03-19,tela0780.97d
1997-03-20,tela0790.97d
1997-04-10,tela1000.97d
1997-09-04,tela2470.97d
1997-09-06,tela2490.97d
1997-12-17,tela3510.97d
1999-06-03,tela1540.99d
1999-06-11,tela1620.99d
1999-06-12,tela1630.99d
1999-06-16,tela1670.99d
1999-06-23,tela1740.99d
1999-06-24,tela1750.99d
1999-06-25,tela1760.99d
1999-06-26,tela1770.99d
1999-07-15,tela1960.99d
1999-07-18,tela1990.99d
1999-08-22,tela2340.99d
1999-09-17,tela2600.99d
1999-09-18,tela2610.99d
1999-11-06,tela3100.99d
1999-11-09,tela3130.99d
1999-11-17,tela3210.99d
1999-11-29,tela3330.99d
2000-01-01,tela0010.00d
2000-01-03,tela0030.00d
2000-01-04,tela0040.00d
2000-01-07,tela0070.00d
2000-01-18,tela0180.00d
2000-01-28,tela0280.00d
2000-01-29,tela0290.00d
