 lat lon alt X Y Z name
alon 31.707936361586658 34.60664522757809 55.67376941226348 4470258.120167495 3084589.778295793 3332952.816725086 "Waste treatment facility, Ashkelon"
bshm 32.778983669537965 35.022982054278906 225.0728954614451 4395951.624977954 3080706.9903219505 3433497.924514195 "Binyamin Shmuter Memorial site"
csar 32.488254208685866 34.890185349370846 36.592562311822775 4417211.534537589 3080364.688201814 3406244.187920687 "Ceasarya "
drag 31.593199807782888 35.39206914741452 31.79392373485762 4432980.745464645 3149432.01775656 3322110.37056462 "Metzoki dragot "
dsea 31.0369142563338 35.368823285157845 -360.79573698163153 4460124.378356319 3165994.214663136 3269214.922270288 "Ded-Sea Manufactories "
elat 29.50927786737548 34.92059795992651 29.523559775203466 4555028.834758331 3180067.207956583 3123164.3053408335 "Eilat "
elro 33.18200735323659 35.77064801295103 1083.1730655767738 4336218.423617411 3124003.724471654 3471463.142559945 "Kibutz el-rom "
gilb 32.47933606872282 35.416476122964966 506.8027512766421 4389487.0024930565 3121346.1737616654 3405662.436380359 "Maale Gilboa "
hrmn 33.30830993005229 35.78544940160602 2091.727635373419 4329864.199357617 3121125.293391009 3483734.383375135 "Mount Hermon "
jslm 31.771152909296156 35.2024514015356 790.3371261013955 4435438.270801543 3129141.7271880102 3339300.986030042 "Jerusalem "
kabr 33.022814698911276 35.145056767915804 103.39918030526322 4377283.200865858 3081551.5302352756 3456136.7681029434 "Kibutz Kabri "
katz 32.995244446987485 35.688281693948284 346.98679337509134 4349389.381978543 3124004.6534359236 3453705.262881762 "Katzrin "
klhv 31.37806290071231 34.86672608713719 498.040110695202 4472219.712830857 3116004.1060220823 3302011.114059035 "Kibutz Lahav "
lhav 31.377821493070464 34.86630812740052 488.9304569100278 4472247.497801675 3115975.003791993 3301983.517288395 "Kibutz Lahav "
mrav 32.44992237277434 35.42161446484294 415.6318013760754 4390571.287501055 3122710.0959092514 3402861.216225192 "Kibbutz Merav "
nizn 30.884318517488815 34.42348123886598 274.0988791247598 4519380.125620898 3097205.4263623 3255034.014017531 "Nizana "
nrif 30.03841839589694 35.036041156938374 457.52230235722135 4525066.993160494 3172729.903008647 3174290.264378418 "Kibutz Neve Harif "
nzrt 32.78249644091495 35.33144684584639 411.6860901793268 4379258.229607726 3104297.5793245984 3433926.5071324254 "Beit Rimon "
ramo 30.59760435239421 34.763137796889694 886.8235785154836 4514721.9897904415 3133507.7484611585 3228024.5961196134 "Mitzpe Ramon "
slom 31.228182277071276 34.28382072724028 112.72903096451034 4510551.089271103 3075023.306147949 3287611.342770256 "Kibutz Cerem Shalom "
spir 30.613632472676816 35.18395206271621 12.104968687752262 4490231.31458613 3165626.620491785 3229108.7442799928 "SAPIR "
tela 32.06799442407667 34.780895001184255 58.357228233392654 4443535.567386307 3086140.7821080373 3366854.0948075787 "Tel Aviv "
yosh 32.10383414883048 35.20967141891443 714.4166107049266 4419045.2487539705 3118410.757614798 3370569.948559319 "Ariel "
yrcm 30.99156924168473 34.92826813898487 516.0756075304591 4487075.989377127 3133519.86402387 3265358.0092721 "Yerucham "
