name	alt	lat	lon
yosh	0.2	32.104	35.21
jslm	36.8	31.771	35.202
tela	40.6	32.068	34.781
mrav	43.4	32.45	35.422
gilb	46.1	32.479	35.416
csar	52.3	32.488	34.89
drag	59.1	31.593	35.392
ammn	63.8	32.03	35.88
alon	71.8	31.708	34.607
nzrt	76.2	32.782	35.331
bshm	77.1	32.779	35.023
just	85.1	32.493	35.987
klhv	86.6	31.378	34.867
lhav	86.7	31.378	34.866
hugs	92.5	32.101	36.189
kabr	102.3	33.023	35.145
katz	108.7	32.995	35.688
dsea	119.1	31.037	35.369
muta	121.7	31.095	35.718
yrcm	126.0	30.992	34.928
krom	130.7	33.181	35.77
slom	130.8	31.228	34.284
elro	130.8	33.182	35.771
kslm	130.9	31.226	34.284
hrmn	144.2	33.308	35.785
nizn	154.4	30.884	34.423
spir	165.0	30.614	35.184
ramo	172.1	30.598	34.763
udmc	186.3	33.515	36.285
peta	198.4	30.327	35.469
laug	227.4	34.115	35.674
nrif	229.5	30.038	35.036
elat	288.8	29.509	34.921
haly	339.4	29.139	36.1
bfld	367.7	35.413	35.413
nico	376.7	35.141	33.396
tays	395.0	28.551	34.872
rash	423.5	28.299	34.797
phlw	445.1	29.861	31.343
