                    X                Y                Z   name
alon   4470258.120436   3084589.778108   3332952.817425   Waste treatment facility, Ashkelon
bshm   4395951.623905   3080706.989548   3433497.924246   Binyamin Shmuter Memorial site
csar   4417211.533933   3080364.688296   3406244.186371   Ceasarya
drag   4432980.744826   3149432.017687   3322110.370053   Metzoki dragot
dsea   4460124.378127   3165994.215033   3269214.921550   Ded-Sea Manufactories
elat   4555028.834959   3180067.208428   3123164.306052   Eilat
elro   4336218.423351   3124003.724411   3471463.142131   Kibutz el-rom
gilb   4389487.001870   3121346.173781   3405662.437160   Maale Gilboa
hrmn   4329864.200425   3121125.294167   3483734.383770   Mount Hermon
jslm   4435438.272332   3129141.727871   3339300.990160   Jerusalem
kabr   4377283.201190   3081551.530607   3456136.768346   Kibutz Kabri
katz   4349389.382124   3124004.653290   3453705.263879   Katzrin
klhv   4472219.714401   3116004.107276   3302011.114415   Kibutz Lahav
krom   4336313.800000   3123942.300000   3471405.800000   Kibutz El-Rom
kslm   4510613.892423   3075093.464086   3287445.128609   Kibutz Kerem Shalom
lhav   4472247.497525   3115975.003483   3301983.517201   Kibutz Lahav
mrav   4390571.288225   3122710.096554   3402861.216923   Kibbutz Merav
nizn   4519380.125052   3097205.426135   3255034.014518   Nizana
nrif   4525066.992512   3172729.902888   3174290.263706   Kibutz Neve Harif
nzrt   4379258.231123   3104297.580524   3433926.507312   Beit Rimon
ramo   4514721.990374   3133507.748810   3228024.596679   Mitzpe Ramon
slom   4510551.088511   3075023.305920   3287611.341381   Kibutz Cerem Shalom
spir   4490231.316167   3165626.621933   3229108.746324   SAPIR
tela   4443535.566781   3086140.781854   3366854.095172   Tel Aviv
yosh   4419045.250520   3118410.759015   3370569.949204   Ariel
yrcm   4487075.989637   3133519.864069   3265358.009375   Yerucham
