name	lat	lon	elevation
elat	29.509	34.921	11.0
csar	32.488	34.89	6.0
drag	31.593	35.392	31.8
ramo	30.598	34.763	862.0
dsea	31.037	35.369	-378.0
yrcm	30.992	34.928	491.0
kabr	33.023	35.145	119.4
mrav	32.45	35.422	415.63
bshm	32.779	35.023	225.1
hrmn	33.308	35.785	2047.0
tela	32.068	34.781	0.0
slom	31.228	34.284	90.0
nrif	30.038	35.036	437.0
spir	30.614	35.184	-10.0
katz	32.995	35.688	319.0
nzrt	32.782	35.331	397.0
alon	31.708	34.607	25.0
yosh	32.104  35.210  713.4
arel	32.102	35.209	706.3
gilb	32.479	35.416	525.4
lhav	31.207	34.866	491.3
